Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
102,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,86.6,13.3,51.1,6.16,0.01,,42.63,19.65,,,,,,,,,,,,QLD,152.8749534,-25.68326039
103,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,85.3,14.6,50.5,6.07,0.08,0.01,43.24,19.5,0.8,7.7,1.12,2.2,1.5,13.2,32.2,0.04,1.55,1.0,38.69,QLD,152.6455929,-26.49856593
104,Industrial Processing,Timber industry,Timber waste (Softwood),0.2,85.4,14.4,50.2,6.12,0.02,,43.46,18.91,,,,,,,,,,,,QLD,145.5026655,-17.61695047
105,Forestry,Bark,Softwood (Cypress pine),4.6,71.4,24.0,56.5,5.55,0.37,,32.98,22.25,,,,,,,,,,,,NSW,149.166643,-30.95793089
106,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,88.6,11.2,49.3,5.88,0.09,,44.53,18.01,,,,,,,,,,,,VIC,146.7749064,-37.97806838
107,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,89.3,10.7,48.8,6.09,0.06,,44.95,17.74,,,,,,,,,,,,VIC,145.7367309,-37.19811099
108,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,89.6,10.4,48.5,6.12,0.03,0.01,45.24,18.19,3.8,7.7,3.0,9.9,0.4,15.9,22.4,1.22,1.51,3.7,30.47,VIC,145.753,-37.865
109,Industrial Processing,Timber industry,Timber waste (Hardwood),0.0,83.9,16.1,49.5,5.88,0.06,,44.56,19.99,,,,,,,,,,,,VIC,145.753,-37.865
110,Industrial Processing,Timber industry,Timber waste (Hardwood),1.3,82.1,16.6,50.3,5.72,0.06,,42.62,19.68,,,,,,,,,,,,QLD,148.5808,-20.405
111,Industrial Processing,Timber industry,Timber waste (Hardwood),0.7,86.6,12.7,49.7,5.91,0.02,,43.67,19.3,,,,,,,,,,,,NSW,152.9387788,-29.72808813
112,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,89.2,10.6,49.5,5.97,0.07,,44.26,18.56,,,,,,,,,,,,NSW,152.9387788,-29.72808813
113,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,88.1,11.7,49.7,5.89,0.07,0.01,44.13,17.57,7.0,5.4,3.2,6.9,0.5,2.74,18.1,1.06,0.52,38.2,16.38,NSW,152.9387788,-29.72808813
114,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,87.8,12.1,50.1,5.91,0.07,0.01,43.81,18.38,10.3,12.0,2.97,9.7,0.67,6.8,19.3,0.2,0.12,11.2,26.74,QLD,148.5808,-20.405
115,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,84.9,15.0,50.2,5.82,0.03,0.03,43.82,19.5,13.2,1.0,3.1,10.1,0.4,1.76,4.3,0.17,0.19,55.3,10.48,NSW,,
116,Forestry,Mixed,Hardwood (Eucalyptus),1.8,79.8,18.4,49.9,6.15,0.36,0.06,41.73,19.9,11.1,0.12,0.83,5.1,3.3,13.2,20.3,0.05,1.75,3.5,40.75,SA,137.2142,-35.7752
117,Forestry,Mixed,Hardwood (Broombush),2.1,78.6,19.3,52.0,6.16,0.45,0.16,39.13,20.93,18.7,5.2,0.81,4.8,4.7,10.0,15.8,0.05,1.1,4.3,34.54,SA,137.2142,-35.7752
118,Industrial Processing,Other,Macadamia nut shells,0.3,79.6,20.1,52.4,5.7,0.29,0.04,41.27,20.9,1.58,5.5,1.76,5.4,3.5,33.8,9.2,0.08,0.66,8.2,30.32,QLD,152.6657079,-26.18344803
119,Urban Waste,MSW,Food waste (MSW),6.1,77.1,16.9,48.4,6.7,2.94,0.2,34.8,20.3,11.7,2.98,1.12,6.0,18.1,6.12,44.4,0.08,0.05,0.92,8.53,QLD,153.0057,-27.602
120,Urban Waste,MSW,Garden waste (MSW),8.3,69.9,21.8,47.7,5.7,1.24,0.21,36.26,18.7,1.42,6.4,2.46,43.2,4.35,9.92,21.9,0.24,0.13,1.17,8.81,QLD,153.0057,-27.602
121,Urban Waste,MSW,Printing paper (MSW),9.7,74.8,15.5,42.9,5.4,0.13,0.03,41.76,16.3,1.98,1.56,15.5,24.0,0.34,0.65,53.2,0.28,0.05,1.23,1.21,QLD,153.0057,-27.602
122,Urban Waste,MSW,Packaging paper (MSW),12.2,75.4,12.4,41.2,5.2,0.19,0.08,41.04,15.5,1.8,3.27,13.8,21.5,0.28,0.34,55.0,1.46,0.04,0.74,1.77,QLD,153.0057,-27.602
123,Urban Waste,MSW,Packaging plastic (MSW),3.9,91.5,4.6,72.8,9.4,0.34,0.03,11.53,25.9,0.97,2.44,16.9,19.3,2.22,0.12,37.3,16.8,0.08,2.45,1.42,QLD,153.0057,-27.602
124,Urban Waste,MSW,Non-packaging plastic (MSW),1.3,97.8,0.9,83.8,9.5,3.31,0.03,0.96,40.6,0.17,2.77,6.0,17.7,1.01,,54.1,5.8,0.09,3.11,9.25,QLD,153.0057,-27.602
125,Urban Waste,MSW,Textiles (MSW),1.4,81.7,16.9,51.8,6.1,1.74,0.2,38.71,20.9,5.3,3.76,5.3,24.8,4.06,3.72,12.2,29.6,0.05,1.47,9.74,QLD,153.0057,-27.602
